il;the
seguire;follow
in giro;around
genitore;parent
solo;only
stop;stop
faccia;face
tutto;anything
creare;create
pubblico;public
già;already
parlare;speak
altrui;others
leggere;read
livello;level
consentire;allow
aggiungere;add
ufficio;office
spendere;spend
porta;door
salute;health
persona;person
arte;art
sicuro;sure
tale;such
guerra;war
storia;history
partito;party
all'interno;within
crescere;grow
risultato;result
aperto;open
cambiamento;change
mattina;morning
camminare;walk
motivo;reason
basso;low
vincere;win
ricerca;research
ragazza;girl
tipo;guy
presto;early
cibo;food
prima;before
momento;moment
se stesso;himself
aria;air
insegnante;teacher
vigore;force
offrire;offer
abbastanza;enough
entrambi;both
educazione;education
attraverso;across
sebbene;although
ricordare;remember
piede;foot
secondo;second
ragazzo;boy
forse;maybe
verso;toward
in grado di;able
età;age
spento;off
politica;policy
tutto;everything
amore;love
processo;process
musica;music
compresi;including
considerare;consider
apparire;appear
effettivamente;actually
acquistare;buy
probabilmente;probably
umano;human
aspettare;wait
servire;serve
mercato;market
morire;die
inviare;send
aspettare;expect
casa;home
senso;sense
costruire;build
soggiorno;stay
cadere;fall
oh;oh
nazione;nation
piano;plan
taglio;cut
college;college
interesse;interest
morte;death
corso;course
qualcuno;someone
esperienza;experience
dietro;behind
raggiungere;reach
locale;local
uccidere;kill
sei;six
rimanere;remain
effetto;effect
utilizzare;use
sì;yeah
suggerire;suggest
classe;class
controllo;control
aumentare;raise
cura;care
forse;perhaps
piccolo;little
tardi;late
difficile;hard
campo;field
altro;else
passare;pass
ex;former
vendere;sell
maggiore;major
a volte;sometimes
richiedere;require
lungo;along
sviluppo;development
si;themselves
rapporto;report
ruolo;role
meglio;better
fatica;effort
su;up
decidere;decide
tasso;rate
forte;strong
possibile;possible
cuore;heart
spettacolo;show
leader;leader
luce;light
voce;voice
moglie;wife
tutto;whole
polizia;police
mente;mind
infine;finally
tirare;pull
ritorno;return
gratuito;free
militare;military
prezzo;price
rapporto;report
meno;less
secondo;according
decisione;decision
spiegare;explain
figlio;son
speranza;hope
anche;even
sviluppare;develop
vista;view
rapporto;relationship
trasportare;carry
città;town
strada;road
unità;drive
braccio;arm
vero;true
federale;federal
interruzione;break
meglio;better
differenza;difference
grazie;thank
ricevere;receive
valore;value
costruzione;building
azione;action
completo;full
modello;model
aderire;join
stagione;season
società;society
perché;because
tasse;tax
direttore;director
presto;early
posizione;position
giocatore;player
concordare;agree
particolarmente;especially
record;record
scegliere;pick
indossare;wear
carta;paper
speciale;special
spazio;space
terra;ground
forma;form
supporto;support
evento;event
ufficiale;official
la cui;whose
materia;matter
tutti;everyone
centro;center
coppia;couple
posto;site
fine;end
progetto;project
colpire;hit
base;base
attività;activity
stella;star
tavolo;table
bisogno;need
tribunale;court
produrre;produce
mangiare;eat
insegnare;teach
olio;oil
metà;half
situazione;situation
facile;easy
costo;cost
industria;industry
figura;figure
faccia;face
strada;street
immagine;image
stessa;itself
telefono;phone
o;either
dati;data
copertura;cover
abbastanza;quite
immagine;picture
chiaro;clear
pratica;practice
pezzo;piece
terra;land
recente;recent
descrivere;describe
prodotto;product
medico;doctor
muro;wall
paziente;patient
lavoratore;worker
notizie;news
test;test
film;movie
certo;certain
nord;north
amore;love
personale;personal
aperto;open
supporto;support
semplicemente;simply
terzo;third
prendere;catch
passo;step
bambino;baby
computer;computer
tipo;type
attenzione;attention
disegnare;draw
film;film
albero;tree
fonte;source
rosso;red
quasi;nearly
organizzazione;organization
scegliere;choose
motivo;cause
capelli;hair
guardare;look
punto;point
secolo;century
prova;evidence
finestra;window
difficile;difficult
ascoltare;listen
presto;soon
cultura;culture
miliardo;billion
possibilità;chance
fratello;brother
energia;energy
periodo;period
corso;course
estate;summer
meno;less
realizzare;realize
cento;hundred
disponibile;available
impianto;plant
probabile;likely
opportunità;opportunity
termine;term
breve;short
lettera;letter
condizione;condition
scelta;choice
luogo;place
singolo;single
regola;rule
figlia;daughter
sud;south
marito;husband
piano;floor
materiale;material
popolazione;population
bene;well
chiamata;call
vicino;close
migliaia;thousand
rischio;risk
corrente;current
fuoco;fire
futuro;future
sbagliato;wrong
coinvolgere;involve
difesa;defense
chiunque;anyone
aumentare;increase
sicurezza;security
banca;bank
me;myself
certamente;certainly
ovest;west
sport;sport
pensione;board
cercare;seek
per;per
soggetto;subject
ufficiale;officer
privato;private
resto;rest
comportamento;behavior
affare;deal
performance;performance
combattimento;fight
gettare;throw
top;top
rapidamente;quickly
passato;past
goal;goal
secondo;second
letto;bed
ordine;order
autore;author
riempire;fill
rappresentare;represent
fuoco;focus
estero;foreign
cadere;drop
piano;plan
sangue;blood
su;upon
agenzia;agency
spingere;push
natura;nature
colore;color
no;no
recentemente;recently
negozio;store
ridurre;reduce
suono;sound
appunto;note
fine;fine
prima;before
vicino;near
movimento;movement
pagina;page
inserire;enter
quota;share
di;than
comune;common
povero;poor
altro;other
naturale;natural
gara;race
preoccupazione;concern
serie;series
significativo;significant
simile;similar
caldo;hot
lingua;language
ogni;each
solitamente;usually
risposta;response
morto;dead
salire;rise
animale;animal
fattore;factor
decennio;decade
articolo;article
sparare;shoot
est;east
salvare;save
sette;seven
artista;artist
via;away
scena;scene
stock;stock
carriera;career
nonostante;despite
centrale;central
otto;eight
così;thus
oltre;beyond
felice;happy
esattamente;exactly
proteggere;protect
approccio;approach
bugia;lie
dimensione;size
cane;dog
fondo;fund
grave;serious
verificarsi;occur
media;media
pronto;ready
segno;sign
pensiero;thought
elenco;list
individuale;individual
semplice;simple
qualità;quality
pressione;pressure
accettare;accept
risposta;answer
difficile;hard
risorsa;resource
identificare;identify
sinistra;left
riunione;meeting
determinare;determine
preparare;prepare
malattia;disease
qualunque;whatever
successo;success
discutere;argue
coppa;cup
particolarmente;particularly
importo;amount
capacità;ability
personale;staff
riconoscere;recognize
indicare;indicate
carattere;character
crescita;growth
perdita;loss
laurea;degree
meraviglia;wonder
attacco;attack
se stessa;herself
regione;region
box;box
formazione;training
piuttosto;pretty
commercio;trade
affare;deal
elezione;election
tutti;everybody
generale;general
sentimento;feeling
standard;standard
proposta di legge;bill
messaggio;message
fallire;fail
al di fuori;outside
arrivare;arrive
analisi;analysis
vantaggio;benefit
nome;name
sesso;sex
avanti;forward
avvocato;lawyer
presente;present
sezione;section
vetro;glass
risposta;answer
abilità;skill
sorella;sister
professore;professor
funzionamento;operation
crimine;crime
fase;stage
confrontare;compare
autorità;authority
perdere;miss
design;design
ordinamento;sort
uno;one
atto;act
dieci;ten
conoscenza;knowledge
pistola;gun
stazione;station
blu;blue
stato;state
piccolo;little
chiaramente;clearly
discutere;discuss
infatti;indeed
vigore;force
verità;truth
canzone;song
esempio;example
controllare;check
ambiente;environment
gamba;leg
buio;dark
pubblico;public
vario;various
piuttosto;rather
ridere;laugh
indovinare;guess
esecutivo;executive
set;set
studio;study
dimostrare;prove
blocco;hang
intero;entire
rock;rock
abbastanza;enough
dimenticare;forget
da;since
richiesta;claim
appunto;note
rimuovere;remove
manager;manager
aiutare;help
vicino;close
suono;sound
godere;enjoy
rete;network
legale;legal
freddo;cold
forma;form
finale;final
principale;main
scienza;science
verde;green
memoria;memory
scheda;card
sopra;above
sedile;seat
cella;cell
stabilire;establish
bello;nice
prova;trial
esperto;expert
che;that
primavera;spring
impresa;firm
radio;radio
visita;visit
gestione;management
cura;care
evitare;avoid
immaginare;imagine
stasera;tonight
enorme;huge
palla;ball
rifinitura;finish
te;yourself
Discussioni;talk
teoria;theory
urto;impact
rispondere;respond
dichiarazione;statement
mantenere;maintain
carica;charge
popolare;popular
tradizionale;traditional
su;onto
rivelare;reveal
direzione;direction
arma;weapon
culturale;cultural
contenere;contain
pace;peace
testa;head
controllo;control
base;base
dolore;pain
applicare;apply
giocare;play
misurare;measure
ampio;wide
agitare;shake
volare;fly
intervista;interview
gestire;manage
particolare;particular
telecamera;camera
struttura;structure
politica;politics
eseguire;perform
bit;bit
peso;weight
improvvisamente;suddenly
scoprire;discover
top;top
produzione;production
trattare;treat
viaggio;trip
sera;evening
influenzare;affect
interno;inside
unità;unit
migliore;best
stile;style
adulto;adult
preoccuparsi;worry
gamma;range
ricordare;mention
piuttosto;rather
lontano;far
profondità;deep
passato;past
bordo;edge
individuale;individual
specifico;specific
difficoltà;trouble
necessario;necessary
in tutto;throughout
sfida;challenge
paura;fear
istituzione;institution
mezzo;middle
mare;sea
sognare;dream
bar;bar
bello;beautiful
proprietà;property
invece;instead
migliorare;improve
roba;stuff
dettaglio;detail
metodo;method
segno;sign
qualcuno;somebody
albergo;hotel
soldato;soldier
riflettere;reflect
pesante;heavy
motivo;cause
borsa;bag
calore;heat
cadere;fall
difficile;tough
cantare;sing
superficie;surface
scopo;purpose
esistere;exist
modello;pattern
il quale;whom
proprietario;owner
macchina;machine
gas;gas
giù;down
avanti;ahead
generazione;generation
commerciale;commercial
cancro;cancer
test;test
articolo;item
realtà;reality
passo;step
cantiere;yard
battere;beat
violenza;violence
totale;total
investimento;investment
discussione;discussion
avviso;notice
collezione;collection
moderno;modern
compito;task
partner;partner
positivo;positive
civile;civil
tiro;shot
preventivo;budget
desiderio;wish
sicuro;safe
accordo;agreement
capitale;capital
bocca;mouth
vittima;victim
giornale;newspaper
invece;instead
minaccia;threat
sorriso;smile
punteggio;score
conto;account
interessante;interesting
interruzione;break
ricco;rich
cena;dinner
figura;figure
voto;vote
occidentale;western
riferirsi;relate
viaggi;travel
prevenire;prevent
cittadino;citizen
maggioranza;majority
nessuno;none
anteriore;front
Born;born
ammettere;admit
anziano;senior
assumere;assume
vento;wind
chiave;key
professionale;professional
missione;mission
veloce;fast
solo;alone
cliente;customer
soffrire;suffer
discorso;speech
di successo;successful
opzione;option
meridionale;southern
fresco;fresh
alla fine;eventually
foresta;forest
video;video
globale;global
riforma;reform
accesso;access
giudice;judge
pubblicare;publish
costo;cost
relazione;relation
come;like
rilascio;release
proprio;own
opinione;opinion
credito;credit
critico;critical
interessato;concerned
richiamo;recall
versione;version
fissare;stare
sicurezza;safety
efficace;effective
quartiere;neighborhood
originale;original
atto;act
truppa;troop
direttamente;directly
male;hurt
specie;species
immediatamente;immediately
carreggiata;track
di base;basic
speranza;hope
cielo;sky
libertà;freedom
assolutamente;absolutely
nessuno;nobody
raggiungere;achieve
oggetto;object
atteggiamento;attitude
fare riferimento;refer
concetto;concept
potente;powerful
perfetto;perfect
nove;nine
pertanto;therefore
condotta;conduct
annunciare;announce
conversazione;conversation
esaminare;examine
toccare;touch
per favore;please
assistere;attend
completamente;completely
voto;vote
varietà;variety
sonno;sleep
turno;turn
coinvolto;involved
inchiesta;investigation
nucleare;nuclear
ricercatore;researcher
stampa;press
conflitto;conflict
spirito;spirit
esperienza;experience
sostituire;replace
incoraggiare;encourage
argomento;argument
da;by
una volta;once
campo;camp
cervello;brain
caratteristica;feature
pomeriggio;afternoon
weekend;weekend
dozzina;dozen
possibilità;possibility
lungo;along
assicurazione;insurance
dipartimento;department
battaglia;battle
inizio;beginning
data;date
generalmente;generally
molto;very
scusate;sorry
integrale;complete
fan;fan
bastone;stick
definire;define
facilmente;easily
attraverso;through
foro;hole
elemento;element
visione;vision
stato;status
soluzione;solution
pietra;stone
lentamente;slowly
bit;bit
università;university
introdurre;introduce
tentativo;attempt
spot;spot
mancanza;lack
bevanda;drink
sole;sun
anteriore;front
distanza;distance
ansa;handle
camion;truck
ritorno;return
montagna;mountain
sondaggio;survey
ipotetico;supposed
tradizione;tradition
inverno;winter
rifiutare;refuse
vendite;sales
correre;run
guadagnare;gain
nascondere;hide
oro;gold
club;club
futuro;future
potenziale;potential
aumentare;increase
mezzo;middle
presenza;presence
distretto;district
forma;shape
lettore;reader
contratto;contract
folla;crowd
esprimere;express
disposto;willing
forza;strength
precedente;previous
ovviamente;obviously
cavallo;horse
interessato;interested
obiettivo;target
carcere;prison
giro;ride
guardia;guard
condizioni;terms
domanda;demand
consegnare;deliver
testo;text
quota;share
strumento;tool
selvaggio;wild
veicolo;vehicle
osservare;observe
volo;flight
interno;inside
comprensione;understanding
media;average
veloce;quick
luce;light
guadagnare;earn
libbra;pound
base;basis
luminoso;bright
ospite;guest
campione;sample
contribuire;contribute
piccolo;tiny
protezione;protection
risolvere;settle
raccogliere;collect
addizionale;additional
mentre;while
altamente;highly
identità;identity
per lo più;mostly
lezione;lesson
fede;faith
vivente;living
presente;present
contare;count
meno;unless
domani;tomorrow
tecnica;technique
shop;shop
ordine;order
principio;principle
sopravvivere;survive
sollevamento;lift
confine;border
concorso;competition
salto;jump
raccogliere;gather
limite;limit
adattarsi;fit
richiesta;claim
grido;cry
valore;worth
critico;critic
caldo;warm
aspetto;aspect
risultato;result
fallimento;failure
annuale;annual
commento;comment
affare;affair
fino a;until
procedura;procedure
regolare;regular
morbido;soft
ignorare;ignore
misurare;measure
credenza;belief
nessuno;anybody
omicidio;murder
regalo;gift
religione;religion
editore;editor
passato;past
impegnarsi;engage
velocità;speed
influenza;influence
comunque;anyway
minacciare;threaten
femminile;female
i giovani;youth
spostare;move
impaurito;afraid
sfondo;background
nativo;native
meraviglioso;wonderful
negare;deny
apparentemente;apparently
reazione;reaction
due volte;twice
prospettiva;perspective
colpo;blow
tipo;kind
distruggere;destroy
cuoco;cook
connessione;connection
carica;charge
bruciare;burn
scarpa;shoe
vista;view
contesto;context
errore;mistake
fuoco;focus
sorriso;smile
posizione;location
vestiti;clothes
tranquillo;quiet
vestito;dress
promessa;promise
consapevole;aware
prossimo;neighbor
integrale;complete
funzione;function
attivo;active
estendere;extend
media;average
combinare;combine
vino;wine
sotto;below
fresco;cool
dire;mean
domanda;demand
apprendimento;learning
autobus;bus
pericoloso;dangerous
ricordare;remind
morale;moral
unito;United
categoria;category
vittoria;victory
chiave;key
visita;visit
sano;healthy
negativo;negative
successivo;following
storico;historical
giro;tour
dipendere;depend
scoperta;finding
diretto;direct
contatto;contact
partecipare;participate
quotidiano;daily
fiera;fair
coppia;pair
famoso;famous
esercizio;exercise
noleggio;hire
familiare;familiar
opportuno;appropriate
fornitura;supply
completamente;fully
taglio;cut
volontà;will
attore;actor
nascita;birth
ricerca;search
orientale;eastern
primario;primary
ieri;yesterday
cerchio;circle
progressi;progress
prossimo;next
anteriore;front
fondo;bottom
isola;island
scambio;exchange
pulito;clean
signora;lady
applicazione;application
collo;neck
danno;damage
alto;tall
piastra;plate
odio;hate
altrimenti;otherwise
scritto;writing
maschio;male
inizio;start
vivo;alive
espressione;expression
intendere;intend
attacco;attack
chiuso;shut
mappa;map
extra;extra
sessione;session
benvenuto;welcome
domestico;domestic
letteratura;literature
pioggia;rain
desiderio;desire
rispetto;respect
settentrionale;northern
dipingere;paint
carburante;fuel
diretto;direct
asciutto;dry
combattimento;fight
dolce;sweet
portare;lead
motore;engine
quarto;fourth
espandere;expand
importanza;importance
grasso;fat
biglietto;ticket
scomparire;disappear
strano;strange
lettura;reading
urbano;urban
mentale;mental
sempre;increasingly
da qualche parte;somewhere
sopra;above
favorito;favorite
esplorare;explore
ottenere;obtain
nemico;enemy
complesso;complex
circondare;surround
invitare;invite
accuratamente;carefully
anima;soul
impossibile;impossible
significato;meaning
mamma;mom
sposato;married
solo;alone
predire;predict
tempo;weather
sopportare;bear
sottile;thin
sorpresa;surprise
metà;half
respiro;breath
spettacolo;sight
copertura;cover
equilibrio;balance
adottare;adopt
minoranza;minority
dritto;straight
tentativo;attempt
collegare;connect
fabbrica;works
insegnamento;teaching
appartenere;belong
aiuto;aid
consigli;advice
bene;okay
vuoto;empty
regionale;regional
sentiero;trail
codice;code
in qualche modo;somehow
organizzare;organize
seno;breast
umano;human
riconoscere;acknowledge
tema;theme
tempesta;storm
unione;union
record;record
scrivania;desk
paura;fear
grazie;thanks
frutta;fruit
sotto;under
costoso;expensive
giallo;yellow
conclusione;conclusion
primo;prime
ombra;shadow
concludere;conclude
danza;dance
limite;limit
ultimo;last
in gran parte;largely
individuare;locate
contea;county
aspetto;appearance
difficoltà;difficulty
ponte;bridge
raccomandare;recommend
ovvio;obvious
fondamentalmente;basically
generare;generate
più;anymore
pensiero;thinking
forse;possibly
tendenza;trend
visitatore;visitor
prestito;loan
attualmente;currently
confortevole;comfortable
investitore;investor
ma;but
profitto;profit
arrabbiato;angry
equipaggio;crew
profondità;deep
incidente;accident
maschio;male
udito;hearing
cattura;capture
preferire;prefer
veramente;truly
terra;earth
petto;chest
ricerca;search
spesso;thick
cassa;cash
bellezza;beauty
unico;unique
caratteristica;feature
interno;internal
etnico;ethnic
stress;stress
contenuto;content
selezionare;select
dichiarare;declare
al di fuori;outside
reale;actual
bottiglia;bottle
quasi;hardly
impostazione;setting
lancio;launch
malato;sick
risultato;outcome
difendere;defend
materia;matter
estremamente;extremely
mescolare;mix
lentamente;slow
contrasto;contrast
zona;zone
svegliarsi;wake
sfida;challenge
capo;chief
marrone;brown
standard;standard
camicia;shirt
pilota;pilot
avvertire;warn
in definitiva;ultimately
noi stessi;ourselves
proprietà;estate
guida;guide
rubare;steal
percentuale;percentage
divertente;funny
né;neither
suolo;soil
corretto;correct
stima;estimate
dovuto;due
tardi;late
indagare;investigate
pazzesco;crazy
ramo;branch
solo;just
frequentemente;frequently
sollievo;relief
utente;user
papà;dad
calcio;kick
parte;part
modo;manner
antico;ancient
silenzio;silence
valutazione;rating
mozione;motion
genere;gender
risolvere;solve
usato;used
pari;equal
lungo;long
ufficiale;official
tipico;typical
tranne;except
eliminare;eliminate
ospite;host
fiducia;trust
punteggio;score
fila;row
produttore;producer
nel frattempo;meanwhile
confermare;confirm
fissare;fix
intelligente;smart
lunghezza;length
argomento;topic
lamentarsi;complain
problema;issue
indietro;back
attrarre;attract
fiducia;confidence
segreto;secret
raro;rare
a parte;aside
dovunque;anywhere
file;file
il piacere;pleasure
master;master
epoca;era
controllare;check
stare in piedi;stand
divertimento;fun
separato;separate
ora;now
chiaro;clear
dire;mean
pulito;clean
tranne;except
dubbio;doubt
gravemente;seriously
conto;account
totalmente;totally
eroe;hero
tratto;stretch
vincitore;winner
volume;volume
viaggi;travel
sorpreso;surprised
resto;rest
moda;fashion
occupato;busy
copia;copy
punta;tip
sotto;below
a buon mercato;cheap
ovunque;everywhere
apertura;opening
globale;overall
divide;divide
iniziale;initial
terribile;terrible
opporsi;oppose
percorso;route
multiplo;multiple
essenziale;essential
domanda;question
penale;criminal
attento;careful
superiore;upper
rush;rush
necessariamente;necessarily
specificamente;specifically
stanco;tired
salire;rise
legare;tie
impiegare;employ
vacanza;holiday
danza;dance
meno;fewer
a parte;apart
fiammifero;match
appena;barely
settore;sector
mancanza;lack
sotto;beneath
accanto a;beside
nero;black
incidente;incident
limitato;limited
orgoglioso;proud
portata;flow
facoltà;faculty
aumento;increased
di scarto;waste
massa;mass
esperimento;experiment
decisamente;definitely
bomba;bomb
enorme;enormous
tono;tone
liberale;liberal
massiccio;massive
femminile;female
declino;decline
promessa;promise
verso;towards
esporre;expose
rurale;rural
stretto;narrow
solido;solid
collina;hill
tipicamente;typically
rumore;noise
sfortunatamente;unfortunately
cappello;hat
riuscire;succeed
o;either
celebrare;celebrate
pesca;fishing
bevanda;drink
mano;hand
utile;useful
terra;land
segreto;secret
rifiutare;reject
gusto;taste
caratteristica;characteristic
fuga;escape
gettare;cast
frase;sentence
insolito;unusual
strettamente;closely
convincere;convince
altezza;height
sonno;sleep
abbondanza;plenty
giro;ride
primo;first
aggiunta;addition
affilato;sharp
creativo;creative
dietro;behind
approvare;approve
al di fuori;outside
vivere;live
vivente;living
competere;compete
più;plus
mente;mind
potenziale;potential
debole;weak
illegale;illegal
personalità;personality
elenco;list
onore;honor
sempre;forever
divertimento;fun
Per quanto riguarda;regard
recensione;review
avvolgere;wrap
offrire;offer
Display;display
sospetto;suspect
avviso;warning
definizione;definition
creazione;creation
richiesta;request
emozione;emotion
urlare;scream
drammatico;dramatic
universo;universe
eccellente;excellent
marchio;mark
verde;green
triste;sad
descrizione;description
più tardi;later
tutto;whole
felice;glad
ordinario;ordinary
numeroso;numerous
toccare;touch
altrove;elsewhere
pratico;practical
anticipo;advance
sicuro;sure
ogni volta che;whenever
un altro;another
altro;other
totale;total
solito;usual
rabbia;anger
circa;approximately
certamente;surely
puro;pure
nelle vicinanze;nearby
piuttosto;rather
dovuto;due
dritto;straight
piuttosto;pretty
a differenza di;unlike
letteralmente;literally
presto;soon
linea;line
occasionalmente;occasionally
garantire;secure
rosa;pink
fumare;smoke
stima;estimate
proteina;protein
smettere;quit
particolare;particular
origine;origin
cadere;drop
alternativa;alternative
piano;schedule
normalmente;normally
frase;phrase
sognare;dream
classico;classic
meraviglia;wonder
casa;house
pulsante;button
avanti;ahead
abbigliamento;clothing
eccellente;super
fondo;bottom
battere;beat
fondare;found
gusto;taste
perso;lost
fiammifero;match
anticipo;advance
procedere;proceed
stupido;stupid
occupare;occupy
bianco;white
pagare;pay
tradurre;translate
processo;process
piazza;square
riflessione;reflection
rivoluzione;revolution
amichevole;friendly
probabile;likely
tutta la vita;lifetime
consapevolezza;awareness
sorprendente;surprising
ritirare;withdraw
generale;general
allo stesso modo;similarly
recentemente;newly
modo;mode
naturalmente;naturally
reciproco;mutual
top;top
avanzato;advanced
principalmente;mainly
ideale;ideal
gioia;joy
valore;worth
sconosciuto;unknown
odore;smell
episodio;episode
doppio;double
gratuito;free
prova;proof
improvviso;sudden
ingresso;entrance
favorito;favorite
pratica;practice
né;neither
evoluzione;evolution
lattina;can
nonno;grandfather
saggezza;wisdom
vulnerabile;vulnerable
esempio;instance
dubbio;doubt
fantasia;fantasy
paura;scared
guida;guide
trama;plot
costume;custom
negozio;store
consumare;consume
frequenza;frequency
superstite;survivor
oltre a;besides
sorpresa;surprise
stile di vita;lifestyle
umorismo;humor
sospetto;suspect
curioso;curious
centro;downtown
fidanzata;girlfriend
principale;principal
attraverso;across
contro;versus
assoluto;absolute
Dio;God
con successo;successfully
presentare;submit
medio;medium
ogni giorno;everyday
ciò nonostante;nonetheless
alto;high
sconfitta;defeat
vincere;win
fidanzato;boyfriend
connesso;related
accettabile;acceptable
continuo;continuous
finale;final
secondario;secondary
salutare;greet
freddo;cold
civiltà;civilization
quotidiano;daily
desiderio;wish
top;top
etichetta;label
ridere;laugh
perdonare;forgive
casuale;random
passato;past
soggetto;subject
media;average
benvenuto;welcome
risposta;response
chiuso;closed
blu;blue
strano;weird
nelle vicinanze;nearby
pausa;pause
breve;short
curriculum vitae;resume
fare clic;click
uscita;exit
purchè;provided
gigante;giant
primario;primary
sbagliato;wrong
mangiare;eating
età;age
cancellare;cancel
preoccuparsi;worry
sentire;feel
interno;inside
interno;interior
cuoco;cook
recentemente;lately
import;import
modo;way
per favore;please
il nostro;ours
alberino;post
antenato;ancestor
fuga;escape
misto;mixed
posizione;position
neutro;neutral
prendere;catch
modifica;edit
rispetto;respect
tranquillamente;safely
vicino;near
salto;jump
oggetto;object
ordinamento;sort
irritato;upset
interagire;interact
conosciuto;known
soggiorno;stay
un giorno;someday
immediato;instant
allo stesso modo;likewise
maggiore;major
scherzo;joke
bianco;blank
cura;cure
questo;this
colore;color
sveglio;awake
muto;dumb
qualsiasi;any
esecuzione;running
palazzo;palace
precedentemente;formerly
pulito;neat
parte;part
difficoltà;trouble
turno;round
luce;light
infelice;unhappy
arrivo;coming
calma;calm
a parte;apart
cerchio;circle
fantastico;fantastic
livello;level
lasciare;leave
premio;premium
aggiornare;update
oltre;beyond
basso;low
pesce;fish
esplicito;explicit
nel frattempo;meantime
all'interno;within
improvviso;sudden
equilibrato;balanced
straniero;foreigner
lancio;launch
copia;copy
pubblico;public
organizzato;organized
diplomatico;diplomat
noioso;boring
una volta;sometime
capretto;kid
%
fatto;fact
strategia;strategy
neve;snow
normale;normal
%
%
%
